slippery as an eel;aalglatt
subtract;subtrahieren
subsidy, grant, bounty;Subvention (f., -en)
search (n.);Suche (f.)
hum, drone, buzz;summen
sin, evil;Sünde (f., -n)
surfboard;Surfbrett (n., -e)
whirr, buzz (insect);surren
imagery, symbolism;Symbolik (f.)
sympathizer;Sympathisant (m., -en)
pleasant, sympathetic;sympathisch
rebuke, reprimand, reproach, censure;Tadel (m., --)
blame, tattle, scold, reprimand, reprove;tadeln
chalkboard, bar (of candy);Tafel (f., -n)
daylight, light of day;Tageslicht (n.)
agenda, order of business;Tagesordnung (f., -en)
during the day;tagsüber
day in, day out, day after day;tagtäglich
conference, session, meeting;Tagung (f., -en)
typhoon;Taifun (m.)
beat, rhythm, tact, discretion;Takt (m., -e)
bar, measure (of music);Taktstrich (m., -e)
valley, dale;Tal (n., ¨-er)
descent;Talfahrt (f., -en)
profit sharing, royalty;Tantieme (f., -n)
wallpaper;Tapete (f., -n)
brave, courageous;tapfer
grope about;tappen
bag, purse;Tasche (f., -n)
key, button;Taste (f., -n)
fumble, grope;tasten
deed, action;Tat (f., -en)
perpetrator;Täter (m., --)
active;tätig
fact, matter of fact;Tatsache (f., -n)
actually, really, factually;tatsächlich
plunge, dive, dip, immerse;tauchen
thaw, melt;tauen
be good;taugen
deadbeat, good for nothing;Taugennichts (m., -e)
good, fit, useful;tauglich
stagger, reel, wobble, lurch, totter;taumeln
exchange for, swap;tauschen
deceive, delude, be mistaken;täuschen
tarry, tar-like;teerig
pond, pools;Teich (m., -e)
particle;Teilchen (n., --)
partner;Teilhaber (m., --)
participant, subscriber;Teilnehmer (m., --)
partly, in part;teils
in part to, partly to;teils um … zu
partly, in part, partially;teilweise
phone booth;Telefonzelle (f., -n)
plate;Teller (m., --)
tempo, pace, speed;Tempo (n., Tempi)
appointed time, date;Termin (m., -e)
bar, counter;Theka (f., -n)
deep;tief
animal;Tier (m., -e)
bet on him;tippen auf ihn
clamor, rant, romp, riot;toben
fume;toben vor Wut
casualties;Todesfälle (pl.)
mortal, fatal, lethal, deadly;tödlich
Knock on wood!;Toi-toi-toi! 
great, frantic;toll
frolic, romp;tollen
inflection, accent, cadence;Tonfall (m.)
barrel, can, ton;Tonne (f., -n)
audio tape, sound storage device;Tonträger (m., --)
clumsy, loutish, doltish;töpelhaft
pot;Topf (m., ¨-e)
foolish, silly;töricht
thunderous, loud;tosen
completely;total
kill;töten
death toll, obituary;Totenliste (f., -n)
tournament, joust;Tournier (n., -e)
dress, attire, costume;Tracht (f., -en)
try, strive, endeavor;trachten
sluggish, lazy, lethargic;träg
wearable, portable, bearable, hand-held;tragbar
carry, bear, wear;tragen (trägt, trug, getragen)
coach, trainer;Trainer (m., --)
practice, train, work out, coach;trainieren
hitchhike, backpack;trampen
tear drop, water (n.);Träne (f., -n)
gossip;tratschen
get married;trauen
mourn, grieve;trauern
weeping willow;Trauerweide (f., -n)
reverie, musing;Träumerei (f.)
marriage certificate;Trauschein (m., -e)
meet, hit;treffen (trifft, traf, getroffen)
apposite, apt, on point, accurate;treffend
drive, push, propel;treiben (treibt, trieb, getrieben)
separable, divisible;trennbar
sever, lay off, separate, segregate;trennen
part company, disperse, separate;trennen sich
stairs;Treppe (pl., -n)
step, tread, walk;treten (tritt, trat, getreten)
funnel, flare, mouth, crater;Trichter (m., --)
cogent;triftig
drink;trinken (trinkt, trank, getrunken)
tip (n.);Trinkgeld (n., -er)
water supply;Trinkwasserversorgung (f.,-en)
bleak, dreary, dismal;trist
triumphal;triumphierend
dry, arid (adj.);trocken
drought;Trockenheit (f., -en)
dry, air out (v.);trocknen
drip, dribble;tröpfeln
trickle, drop, drip, seep;tropfen
trophy;Trophäe (f., -n)
consolation, comfort;Trost (m.)
console, comfort, solace;trösten
comforting;trostreich
idiot, fool, ninny;Trottel (m., --)
in spite of;trotz
despite;trotzdem
dull, cloudy, hazy, turbid;trüb
gloomy, dim, troubled, cloudy;trübe
turbulence, commotion;Trubel (m., 
darken, sadden, cloud, blear;trüben
deceive;trügen (trügt, trog, getrogen)
fragments, debris, ruins;Trümmer (m.)
troops, forces, company (n.);Truppe (f., -n)
turkey;Truthahn (m., ¨-e)
Bye-bye!;Tschüß! 
step on it, tube;Tube, drücken auf die (f., -n)
able, efficient, hard working, competent;tüchtig
malicious, spiteful, treacherous;tückisch
virtue, goodness;Tugend (f., -en)
cavort;tümmeln sich
do, make;tun (tut, tat, getan)
to do gymnastics;turnen
gym shoe, sneaker, running shoe;Turnschuh (m., -e)
doorstep;Türstufe (f., -n)
evil, bad, sick, ill;übel
evildoer, culprit, wrongdoer;Übeltäter (m., --)
practice;üben
about;über
everywhere;überall
overview, survey;Überblick (m., -e)
survey, glance over, review, oversee;überblicken
bearer;Überbringer (m., --)
surmountable;überbrückbar
tedium, weariness;Überdruss (m., ¨-e)
weary or tire of;überdrüssig sein
match, jibe, agree with, coincide;übereinstimmen
convey, bring;überfahren
attack suddenly, raid;überfallen
overflow;überfließen
superfluous, redundant, unnecessary;überflüssig
transition, transfer, crossover;Übergang (f., ¨-e)
deliver, hand over;übergeben
migrate, cross a border, pass over;übergehen
excess baggage;Übergepäck (n., --)
outsized, oversized, overly large;übergroß
in general, at all;überhaupt
overhaul, overtake, outrun;überholen
encrust;überkrusten
overload;überladen
relinquish, turn over, abandon;überlassen
overburden, overload, overstress;überlasten
run over, overrun, desert from army;überlaufen
survive, outlive;überleben
think over, consider, cover;überlegen
superior, outstanding;überlegen (adj.)
pass down, hand down;überliefern
tradition;Überlieferung (f., -en)
excessive, inordinate;übermäßig
take over, take possession of;übernehmen
resume control or power over;übernehmen wieder etwa.
examine, overhaul, check;überprüfen
cross over, cross;überqueren
surprisingly;überraschenderweise
surprised;überrascht
surprise (n.);Überraschung (f., -en)
persuade, coax, convince;überreden
hand over, take by surprise;überreichen
superabundant, plentiful;überreichlich
remainder, remains;Überrest (m., e)
overshadow, adumbrate;überschatten
overrate;überschätzen
rough estimate or calculation;Überschlagrechnung (f., -en)
overlap, coincide;überschneiden
overflow, submerge, deluge, inundate, swamp;überschwemmen
overseas;Übersee
translation;Übersetzung (f., -en)
relocation, removal;Übersiedelung (f., -en)
bubbling, ebullient, effervescent;übersprudelnd
exceed, surpass;übersteigen
overflow;überströmen
transferable;übertragbar
outmatch, outperform, surpass;übertreffen
overdo, exaggerate, overstate;übertreiben
excessive, over the top, undue;übertrieben
surpassed, outdone;übertroffen
supervise, watch over;überwachen
overwhelm, overcome, subdue;überwältigen
overwhelming;überwältigend
remit, assign;überweisen
overgrow;überwuchern
convince, satisfy;überzeugen
usual, customary;üblich
usually, generally;üblicherweise
left, remaining;übrig
be left, remain;übrigbleiben
by the way, moreover;übrigens
bank, shore;Ufer (n., --)
around, round;um … herum
to be fair;um gerecht zu sein
embrace, hug;umarmen
rebuild, reconstruct, alter, adapt;umbauen
rename, redefine;umbenennen
murder, slay;umbringen
turn around;umdrehen
circumference, perimeter, bounds, scope;Umfang (m., ¨-e)
surround;umfangen
extensive, considerable, voluminous, large;umfangreich
comprise, contain;umfassen
comprehensive;umfassend
surroundings, climate, environment;Umfeld (n., -er)
survey, poll (n.);Umfrage (f., -n)
colloquial;umgangssprachlich
surround;umgeben
circumvent, go around;umgehen
associate with (concepts);umgehen
immediately;umgehend
reshape, remodel, rearrange;umgestalten
rove;umherstreifen
wrap up, enclose;umhüllen
dressing room;Umkleidekabine (f., -en)
turn inside out, roll up;umkrempeln
redirect, divert, reroute;umleiten
detour;Umleitung (f., -en)
outline, silhouette;Umriss (m., -sse)
orbit, circle (v.);umrunden
perish, lose one's life;ums Leben kommen
revenue, sales volume, turnover;Umsatz (m., ¨-e)
sales margin;Umsatzrendite (f.)
VAT, value-added tax;Umsatzsteuer
switch over to, toggle, change channels;umschalten
look around;umschauen sich
envelope (n.);Umschlag (m., ¨-e)
rewrite, paraphrase;umschreiben
idolize, lionize;umschwärmen
look around;umsehen sich
implement, turn over;umsetzen
resettle, relocate;umsiedeln
for nothing, free of charge, gratuitous;umsonst
circumstance, situation;Umstand (m., ¨-e)
circuitous, intricate, laborious, circumstantial;umständlich
transpose, switch around;umstellen
controversial;umstritten
exchange, return;umtauschen
revolutionary;umwälzend
blow down or under;umwehen
environment;Umweldt (f.)
move, relocate;umziehen
change clothes;umziehen sich
surround;umzingeln
move, relocation;Umzug (m., ¨-e)
independent;unabhängig
independence;Unabhängigkeit (f.)
inevitable, unavoidable;unabwendbar
out of place, ill-timed, misplaced;unangebracht
undisputed, unchallenged;unangefochten
inconspicuous, unobtrusive;unauffällig
unchecked, irresistible;unaufhaltsam
disingenuous, insincere, false, devious;unaufrichtig
indelible, indelibly;unauslöschlich
insufferable, unbearable;unausstehlich
unremarkable;unbeachtlich
unattended, unwatched;unbeaufsichtig
unconditional;unbedingt
impassable, unnavigable;unbefahrbar
dirt road, unpaved road;unbefestigte Straße
infinite, boundless, unlimited;unbegrenzt
discomfort, unease;Unbehagen (n.)
clumsy, awkward, ungainly;unbeholfen
unknown, unacquainted;unbekannt
reckless, unconcerned, insouciant;unbekümmert
untouched, unaffected, virgin, undazzled;unberührt
imprudent, reckless, indiscreet, rash;unbesonnen
impregnable, unconquerable;unbezwinglich
insubordinate;unbotmäßig
And how!;Und ob! 
intolerant;unduldsam
intolerance;Unduldsamkeit (f.)
impervious, impenetrable, impermeable;undurchdringlich
discordant;uneinig
endless, infinite, non-terminating;unendlich
indispensable, essential;unentbehrlich
inescapable;unentrinnbar
undecided, pending;unentschieden
tie game, standoff, draw;Unentschieden (n., --)
incessant, steadfast, unswerving;unentwegt
relentless, inexorable, grim, obdurate;unerbittlich
unfulfilled, unrealized, unaccomplished;unerfüllt
inexplicably, unaccountably;unerklärlich
unbearable, unendurable, intolerable;unerträglich
accident;Unfall (m., ¨-e)
inconceivable, unfathomable;unfaßbar
work in progress;unfertige Erzeugnisse (pl.)
mischief, nuisance, horseplay;Unfug (m.)
approximately, roughly;ungefähr
immense, enormous, tremendous;ungeheuer
monstrous, egregious, outrageous;ungeheuerlich
unaffected, unsophisticated;ungekünstelt
unsolved, unresolved, undissolved;ungelöst
universal, universally valid;ungemeingültig
cavalier, unembarrassed;ungeniert
unkempt, scruffy, bedraggled;ungepflegt
clumsy, awkward, maladroit;ungeschickt
impetuous, violent;ungestüm
unworn;ungetragen
countless;ungezählt
unbridled, unruly;ungezügelt
spontaneity, freedom, informality, unconstraint;Ungezwungenheit (f.)
misfortune, disaster;Unglück (m., -sfälle)
weird, uncanny, eerie, unearthly;unheimlich
recently, lately;unlängst
enormous or vast quantity;Unmenge (f.)
direct (adj.);unmittelbar
impossible;unmöglich
unyielding, relentless, adamant;unnachgiebig
wrong, injustice;Unrecht (n., -e)
irregular;unregelmäßig
agitator, trouble-maker;Unruhestifter (m., --)
anxious, unsettled, uneasy, restive;unruhig
inglorious, shameful, disgraceful;unrühmlich
innocent, inoffensive, harmless;unschädlich
fuzzy, cloudy, blurred;unscharf
blur, fuzziness, haziness;Unschärfe (f.)
priceless, inestimable;unschätzbar
innocent, virginal, unaware;unschuldig
uncertain;unsicher
unseen, invisible;unsichtbar
nonsense;Unsinn (n.)
nonsensical, mad, insane;unsinnig
passive, inertial, quiescent, inactive;untätig
subconsciously, subliminally;unterbewusst
interrupt, break in on, adjourn;unterbrechen
accommodate, commit, provide lodging for;unterbringen
meanwhile;unterdessen
suppress, repress, oppress;unterdrücken
oppression, repression;Ünterdrückung (f.)
lower bound;untere Schranke
among themselves;untereinander
venture, dare, undertake;unterfangen
perish, sink, go under;untergehen
subset;Untergerät (n., -e)
converse;unterhalten
source of livelihood or subsistence;Unterhaltsquelle (f.)
entertainment, amusement, conversation;Unterhaltung (f., -en)
accommodation;Unterkunft (f., ¨-e)
omit, forbear, neglect or fail to do;unterlassen
succumb, be overcome;unterliegen
underpinning, substantiation;Untermauerung (f., -en)
subtenant, lodger;Untermieter (m., --)
undertake, take on;unternehmen
enterprising;unternehmungslustig
instruct, teach;unterrichten
underestimate, underrate;unterschätzen
distinguish, differentiate;unterscheiden
difference;Unterschied (f., -e)
embezzle;unterschlagen
sign name;unterschreiben
signature;Unterschrift (f., -en)
innuendo, imputation, assumption;Unterstellung (f., -en)
underline, underscore, emphasize;unterstreichen
aid, support;unterstützen
investigate, examine;untersuchen
immerse, submerse, plunge;untertauchen
on the way, enroute;unterwegs
sign (v.);unterzeichnen
inseparable, indivisible;untrennbar
infidelity, betrayal of confidence, unfaithfulness;Untreue (f.)
insurmountable;unüberbrückbar
unsurpassed, unequalled;unübertroffen
unforgettable, memorable, haunting;unvergesslich
disproportionately;unverhältnismäßig
unmistakable, distinctive;unverkennbar
unavoidable;unvermeidbar
without achieving anything;unverrichteter dinge
intact, unscathed, safe;unversehrt
distinctive, unmistakable;unverwechselbar
instantly, immediately, without delay;unverzüglich
thunderstorm;Unwetter (n., --)
involuntary, automatic, mechanical;unwillkürlich
unreliable;unzuverlässig
unequivocal, unambiguous;unzweideutig
luxurious, opulent;üppig
ancient;uralt
originator, author, copyright owner;Urheber (m., --)
copyright;Urheberrecht (n.)
big bang;Urknall (m.)
document, deed, record, diploma;Urkunde (f., -n)
cause (n.);Ursache (f., -n)
original, primary, primordial;ursprünglich
judgment, sentence, verdict;Urteil (n., -e)
judgment, discretion, discernment;Urteilsvermögen (n.)
vague;vag
entangle o.s., tangle;vehedern sich
arrange, agree;verabreden
adopt, pass a law or bill;verabschieden
take leave, say good-bye, dismiss;verabschieden sich
scorn, despise, disdain;verachten
contempt, disdain, scorn;Verachtung (f., -en)
antiquated, out of date, out-moded;veraltet
change, alter;verändern
bring about, induce;veranlassen
assess, compute, estimate;veranschlagen
stage, arrange, present, host;veranstalten
event, affair;Veranstaltung (f., -en)
answer for, be accountable for;verantworten
responsible, answerable, accountable;verantwortlich
process, treat, handle;verarbeiten
ramification;Verästelung (f., -en)
bandage, association;Verband (m., ¨-e)
banish, outlaw;verbannen
correct, fix;verbessern
improve (sports, work, performance);verbessern sich
batter, dent;verbeulen
ban, prohibit, interdict;verbieten
bind up, connect, associate;verbinden
binding, obligatory;verbindlich
connection, association;Verbindung (f., -en)
grim, dogged;verbissen
fade, pale;verblassen
remain, stay;verbleiben
to blindfold;verblenden
blind, blindfolded, fatuous;verblendet
faded;verblichen
waste, dissipate, exhaust, wear down;verbrauchen
consumer;Verbraucher (m., --)
criminal (n.);Verbrecher (m., --)
spread, disperse, distribute;verbreiten
burn up (small object), scald, cremate;verbrennen
spend time;verbringen
book, post, enter (ledger);verbuchen
ally with;verbünden
serve a sentence;verbüßen eine Strafe
suspicious;verdächtig
Oh damn it!;Verdammt und zugenäht! 
Damn!;Verdammt! 
Damn it!;Verdammt! Verflucht noch mal! 
digest, stomach;verdauen
ruin, spoil, perish;verderben (verdirbt, verdarb, verdorben)
thicken, condense, liquefy;verdichten
earn, deserve;verdienen
earnings, profits, net income;Verdienst (m., -e)
merit, service (n.);Verdienst (n., -e)
earned, deserved, merited;verdient
spoiled, corrupt, foul;verdorben
supplant, supercede, replace, press out;verdrängen
triple;verdreifachen
annoy, vex, grieve;verdrießen (verdrießt, verdroß, verdrossen)
sullen, dour;verdrossen
processed, refined;veredelt
swear (into office);vereidigen
compatible, consistent;vereinbar
agree upon, arrange, unite behind;vereinbaren
arrangement, agreement;Vereinbarung (f., -en)
combine, join, unite;vereinen
simplification;Vereinfachung (f.)
unite, combine, confederate, ally;vereinigen
United Nations;Vereinten Nationen (pl.)
frustrate, thwart;vereiteln
immortalize, eternalize;verewigen
proceed, act, operate;verfahren
process, legal proceeding;Verfahren (n., --)
lose one's way, get lost (by car);verfahren sich
procedural;verfahrensrechtlich
lapse, decay, expire, degenerate;verfallen
change color, discolor;verfärben
compose, constitute, author;verfassen
constitution, form, composition;Verfassung (f., -en)
rot, decay, molder;verfaulen
miss, fail to do or meet;verfehlen
reinforce, solidify, harden, intensify;verfestigen
elapse, pass by;verfließen
pursue, prosecute, follow with interest;verfolgen
on-hand, forthcoming, available;verfügbar
rule, regulate, enact, decree;verfügen
disposition, ordinance;Verfügung (f., -en)
mislead, seduce, entrap, ensnare;verführen
beguiling, seductive, alluring;verführerisch
previous;vergangenen
in vain, for nothing;vergebens
futile, in vain, unavailing;vergeblich
visualize something, represent;vergegenwärtigen sich
elapse, perish, pass away, go away;vergehen
repay, recompense, reward;vergelten
retaliation;Vergeltung (f., -en)
forget;vergessen (vergißt, vergaß, vergessen)
waste, squander;vergeuden
shed (tears or blood), effuse;vergießen
poison (v.);vergiften
yellowed (e.g., from age);vergilbt
comparable;vergleichbar
compare;vergleichen
pleasure (n.);Vergnügen (n.)
gild, gold plate, to plate with gold;vergolden
idolize, adore, deify;vergöttern
magnify, enlarge, gross up, amplify;vergrößern
privilege, favor, concession;Vergünstigung (f., -en)
arrest;verhaften
restrained, cautious;verhalten (adj.)
behavior, comportment;Verhalten (m., --)
act, behave, conduct o.s.;verhalten sich
love affair, relation, ratio;Verhältnis (m., -se)
relatively, proportionately;verhältnismäßig
negotiable;verhandelbar
negotiate, transact, discuss;verhandeln
doom, fate, fatality;Verhängnis (n., -sse)
persist, remain;verharren
hated, odious;verhaßt
promise;verheißen
help o.s. to;verhelfen sich zu
hinder, prevent;verhindern
deride, scoff at, jeer;verhöhnen
interrogate;verhören
stray;verirrt
aberration, anomaly;Verirrung (f., -en)
misunderstood;verkannt
sell;verkaufen
saleswoman;Verkäuferin (f., -en)
bestseller;Verkaufschlager (m., ¨-e)
sales price;Verkaufspreis (m., -e)
traffic, transportation, commerce;Verkehr (m.)
operate, transform, visit, invert;verkehren
upside down, wrong;verkehrt
inversion, perversion, misrepresentation;Verkehrung (f., -en)
misunderstand;verkennen
concatenate, chain up;verketten
idealize;verklären
char, carbonize;verkohlen
embody, impersonate, personify, epitomize;verkörpern
hide;verkriechen sich
announce, publish, proclaim;verkünden
shorten, abbreviate (temporal);verkürzen
publication, publishing house;Verlag (m., -e)
request, demand, long for, pine;verlangen
craving, desire, hankering;Verlangen (n., --)
lengthen, prolong, extend;verlängern
slow down, slacken, decelerate;verlangsamen
leave, check out, rely;verlassen
reliable;verläßlich
vulnerable;verlätzlich
track record, trend, progression;Verlauf (m., ¨-e)
elapse, expire, develop, turn out;verlaufen
lose one's way, get lost (by foot);verlaufen sich
announce, transpire;verlauten
embarrassed, ill at ease;verlegen (adj.)
embarrassment;Verlegenheit (f., -en)
confer, bestow;verleihen
grant of award, loan;Verleihung (f., -en)
mislead, induce, entrap, seduce;verleiten
vulnerable, damageable, violable;verletzbar
injure, wound, violate;verletzen
fall in love;verlieben sich
lose;verlieren (verliert, verlor, verloren)
become engaged to;verloben
tempt, entice, allure, tantalize;verlocken
loss, casualty;Verlust (m., -e)
legacy, bequest;Vermächtnis (n., -sse)
augment, multiply, increase;vermehren
avoidable;vermeidbar
avoid;vermeiden
supposed, alleged, pretended;vermeintlich
rent;vermieten
miss (as in a target);vermissen
mediate;vermitteln
lambaste;vermöbeln
molder, rot, decay;vermodern
capability, capacity, assets, fortune;Vermögen (n., --)
wealthy, affluent, substantial;vermögend
surmise, guess, presume;vermuten
likely, probable, presumably;vermutlich
besot, become infatuated with;vernarren sich in
hear, learn, examine, investigate;vernehmen
deny, answer in the negative;verneinen
ruin, wreck, devastate;vernichten
reason, sense, judgment;Vernunft (f.)
sensible, reasonable, rational;vernünftig
publish;veröffentlichen
ordinance, regulation, decree;Verordenung (f., -en)
packed, packaged;verpackt
miss, pass by, skip;verpassen
cater, feed;verpflegen
catering, food, victuals, rations;Verpflegung (f.)
oblige, bind, engage;verpflichten
obligatory;verpflichtend
thrash, batter, beat, clobber;verprügeln
treason, betrayal, treachery;Verrat (m.)
betray, bespeak;verraten
perish;verrecken
go on a journey;verreisen
get stuck or hung up on;verrennen sich in
perform, do (as in work);verrichten
bolt (v.);verriegeln
reduce, deplete, diminish, abate;verringern
rust out;verrosten
fail, break down, screw up, malfunction;versagen
failure, error;Versagen (n.)
flop, failure, loser;Versager (m., --)
assemble, congregate, gather;versammeln sich
omit, neglect, leave undone;versäumen
procure, get, obtain;verschaffen
barricade, entrench;verschanzen
give away;verschenken
forfeit something;verscherzen sich etwas
relocatable, portable, moveable;verschiebbar
delay, postpone, push back;verschieben
various, miscellaneous;verschieden
distinct from, different from;verschieden von
deteriorate, worsen;verschlechtern
cloud, disguise, veil, conceal;verschleiern
cover-up, deception, obfuscation;Verschleierung (f., -en)
lock (small items), foreclose (figurative);verschließen
exacerbate, aggravate, compound, make worse (health);verschlimmern
devour;verschlingen
closed, locked (house or door only);verschlossen
get over (an injury or loss);verschmerzen
take a break or breather;verschnaufen
lost, forgotten, missing;verschollen
entrench, barricade;verschranzen
eccentric, addlepated, scatterbrained;verschroben
be guilty of, bring on;verschulden
in debt;verschuldet
indebtedness;Verschuldung (f., -en)
fritter away, dissipate, squander, waste;verschwenden
wasteful, extravagant, thriftless, foolish;verschwenderisch
secrecy, discretion, confidentiality;Verschwiegenheit (f.)
blur, become indistinct, swim, melt;verschwimmen
conspire, plot;verschwören
conspiracy, plot, confederacy;Verschwörung (f., -en)
oversight, lapse, blunder, offense;Versehen (n., --)
inadvertent, accidental, by oversight;versehentlich
singe, sear;versengen
transfer, transplant, promote;versetzen
contaminate, infest;verseuchen
insure, underwrite, assure;versichern
seal, apply sealant;versiegeln
reconcile with;versöhnen
provide with, maintain;versorgen
supply, provision;Versorgung (f., -en)
delay;Verspätung (f., -en)
eat, consume;verspeisen
obstruct, block, barricade, close;versperren
promise;versprechen
reason, sanity, mind, understanding;Verstand (m.)
discreet, judicious, prudent;verständig
intelligible, coherent, understandable;verständlich
strengthen, reinforce, amplify;verstärken
stow, stash, store, tuck;verstauen
hide, conceal;verstecken
understand;verstehen
auction;versteigern
fossilized, petrified;versteinert
obscure the view, stand in the way of;verstellen
annoy, put out of joint;verstimmen
in a huff, annoyed;verstimmt
furtive;verstohlen
clog, congest, occlude, constipate, block up;verstopfen
blunder, mistake, offense;Verstoß (m., ¨-e)
cast off, disown, repudiate;verstoßen
offend, go against, blunder, infringe;verstoßen gegen
pass, expire, elapse;verstreichen
scatter, disperse;verstreuen
entangle, ensnare;verstricken
mangle, mutilate, maim, garble;verstümmeln
fall silent, to hush, become dumb;verstummen
try, attempt;versuchen
defend, uphold, vindicate;verteidigen
distribute, allot, disperse;verteilen
demonize;verteufeln
deepen;vertiefen
deep in thought;vertieft
exterminate, eat up, consume;vertilgen
agreement;Vertrag (m., ¨-e)
compliant, reconcilable;verträglich
rely, trust;vertrauen
confidence, trust;Vertrauen (n.)
dreamy, moony;verträumt
intimate, familiar, conversant;vertraut
familiar with;vertraut mit
familiarity, intimacy;Vertrautheit (f., -en)
drive away, expel, banish, sell goods;vertreiben
justifiable, acceptable;vertretbar
represent;vertreten
representative, deputy;Vertreter (m., --)
commit, perpetrate;verüben
cause, occasion (v.);verursachen
sentence, condemn;verurteilen
round out, complete;vervollständigen
uncared for, unprotected, neglected;verwahrlos
manage, administer;verwalten
administrative agency or authority;Verwaltungsbehörde (f., -n)
board of directors, advisory board;Verwaltungsrat (m.)
transform, convert, transmute;verwandeln
relations, kinship, affinity;Verwandschaft (f.)
confuse, mix up, confound, mistake;verwechseln
mix-up, mistake, confusion;Verwechslung (f., -en)
bold, daring, foolhardy, adventurous;verwegen
reject, refuse, deny;verweigern
pause, linger, abide, dwell, tarry;verweilen
teary, tear-stained;verweint
refer, direct or defer (a matter to);verweisen
wither, fade, shrivel;verwelken
collecting society (e.g., ASCAP);Verweltungsgesellschaft (f., -en)
make use of, utilize;verwenden
overrule, disallow, reject, discard, repudiate;verwerfen
entangle, involve;verwickeln
entangle or involve o.s. with;verwickeln sich in
tangled, complicated;verwickelt
forfeit, lose;verwirken
confuse, bewilder;verwirren
blot out, smudge, obliterate;verwischen
weather;verwittern
spoil, pamper;verwöhnen
tangled, convoluted, abstruse;verworren
wound, hurt, injure;verwunden
astonish, amaze;verwundern
curse;verwünschen
bedazzle, bewitch, enchant;verzaubern
consume, each;verzehren
catalog, list, register;Verzeichnis (n., -se)
Pardon me!;Verzeihung! 
distort, warp;verzerren
waiver, renunciation, surrender, abandonment;Verzicht (m.)
forego, renounce, waive;verzichten
spoil, pull away, distort;verziehen
adorn, bedeck, garnish, decorate;verzieren
ornate;verziert
pay interest on;verzinsen
declare (at customs);verzollen
rapture, ecstasy;Verzückung (f., -en)
despair (n.);Verzweiflung (f., -en)
cousin;Vetter (f., -n)
cronyism, favoritism, partisanship;Vetternwirtschaft (f.)
critter, creature;Viech (n., -er)
Have fun!;Viel Vergnügen! 
in many places;vielerorts
multiple, plural, multiplicative;vielfach
diversity, variety;Vielfalt (f.)
manifold, immense, obvious;vielfältig
rather, in fact;vielmehr
multi-layered, multi-pronged;vielschichtig
promising, auspicious;vielversprechend
plurality, multitude;Vielzahl (f., -en)
gun sight;Visier (n., -e)
visionary;visionär
business card;Visitenkarte (f., -n)
vitality, vigor;Vitalität (f.)
flock of birds;Vogelschar (f., -e)
nation, people;Volk (n., ¨-er)
international law, law of nations;Völkerrecht (n.)
populist, popular, folksy, vernacular;volkstümlich
thankfully;voll Dankbarkeit
entirely, fully, perfect, unflawed;vollkommen
authority, power of attorney;Vollmacht (f., -en)
completely, totally, thoroughly;vollständig
executor;Vollstrecker (m., --)
from now on;von nun an
from the outset;von vornherein
have a presentiment, forebode;vorahnen
foreboding, presentiment, apprehension;Vorahnung (f., -en)
estimate, calculation, tender, quote;Voranschlag (m., ¨-e)
promote, spur on, press ahead with;vorantreiben
advance of;voraus
predictable;voraussagbar
predict, forecast;voraussagen
foresee;voraussehen
presuppose, take for granted;voraussetzen
prerequisite, precondition, requirement;Voraussetzung (f., -en)
prepay, advance;vorauszahlen
caveat, proviso, reservation;Vorbehalt (m., -e)
past;vorbei
pass by, miss;vorbeikommen
preparation;Vorbereitung (f., -en)
prevent, obviate, preclude;vorbeugen
role model, standard, paragon, example;Vorbild (n., -e)
model, exemplary;vorbildlich
foreground, forefront;Vordergrund (m.)
rash, premature;voreilig
for the time being;vorerst
drive up to;vorfahren
priority, right of way;Vorfahrtsrecht (n.)
episode, event, occurrence;Vorfall (m., ¨-e)
occur;vorfallen
procedure, process;Vorgang (m., ¨-e)
preconceived;vorgefasst
advance, proceed;vorgehen
approach, tactic;Vorgehensweise (f., -n)
superior (as in rank);vorgesetzt
intend, plan;vorhaben
deals with, focuses on, handles;vorhandeln
curtain, drape;Vorhang (m., ¨-e)
foregoing, aforesaid;vorhergehen
preceding, previous;vorherig
predict, forecast;vorhersagen
vanguard, scout, advance troops;Vorhut (f.)
preceding;vorig
protagonist, spearhead, campaigner;Vorkämpfer (m., --)
precaution, arrangement;Vorkehrung (f., -en)
occur, happen, seem, sound;vorkommen
temporary, provisional, preliminary;vorläufig
put before, submit, propose, show;vorlegen
read aloud;vorlesen
second-to-last, last but one;vorletzt
put before, offer, propose;vormachen
yore, in former times;vormals
guardian, custodian, warden;Vormund (m., -e)
in front;vorn
refined, distinguished, elegant, posh;vornehm
plan, intend, undertake;vornehmen
primarily, principally, foremost, especially;vornehmlich
suburb;Vorort (m., -e)
stocks, supplies;Vorräte (pl.)
advance, move forward;vorrücken
intent, intention, resolution, premeditation;Vorsatz (m., ¨-e)
bring to light;Vorschein, bringen zum
in sight;Vorschein, im
turn up, appear, turn out to be;Vorschein, kommen zum
put forward, propose, recommend;vorschlagen
regulation, prescription, rule, proviso;Vorschrift (f., -en)
preschool;Vorschule (f., -n)
take heed, look out for, beware;vorsehen
Careful!;Vorsicht! 
as a precautionary measure;vorsichthalber
careful;vorsichtig
audition;vorsingen
antediluvian, ancient;vorsintflutlich
chairman, president;Vorsitzende (m., -n)
precaution;Vorsorge (f.)
edge, head start, protrusion;Vorsprung (m., -e)
